"price","year","postcode","property_type","build","estate_type"
140000,2019,1,2,0,1
325000,2020,1,2,0,1
387000,2019,1,2,0,1
415800,2019,1,2,0,1
400000,2020,1,2,0,1
385000,2020,1,2,0,1
100000,2020,1,2,0,1
277500,2020,1,2,0,1
400000,2019,1,2,0,1
450000,2019,1,2,0,1
499999,2020,1,2,0,1
350000,2020,1,2,0,1
498000,2020,1,2,0,1
535000,2019,1,2,0,1
601000,2019,1,2,0,1
400000,2019,1,2,0,1
273000,2020,1,2,0,1
730000,2020,1,5,0,0
20000,2020,1,3,0,0
550000,2020,1,2,0,1
550000,2020,1,2,0,1
550000,2020,1,2,0,1
550000,2020,1,2,0,1
820000,2020,1,3,0,0
750000,2020,1,5,0,0
450000,2021,1,2,0,1
432500,2019,1,2,0,1
707500,2020,1,5,0,0
500000,2020,1,2,0,1
465000,2020,1,2,0,1
375000,2020,1,2,0,1
415000,2019,1,2,0,1
630000,2021,1,2,0,0
475000,2019,1,2,0,1
302500,2019,1,2,0,1
448000,2019,1,5,0,1
352000,2019,1,2,0,1
800000,2020,1,2,0,1
467500,2019,1,2,0,1
377500,2019,1,2,0,1
627500,2020,1,2,0,1
780000,2019,1,2,0,1
640000,2020,1,2,0,1
700000,2019,1,2,0,1
492000,2020,1,2,0,1
458500,2019,1,2,0,1
306000,2020,1,2,0,1
545000,2020,1,2,0,1
270000,2020,1,2,0,1
123224,2020,1,2,0,1
350000,2020,1,2,0,1
267500,2020,1,2,0,1
160000,2019,1,2,0,1
370000,2019,1,2,0,1
385000,2020,1,2,0,1
450000,2019,1,2,1,1
380000,2020,1,2,0,1
430000,2021,1,2,0,1
385000,2019,1,2,0,1
454000,2020,1,2,0,1
266200,2019,1,2,0,1
415000,2020,1,2,0,1
890000,2020,1,5,0,0
705000,2020,1,5,0,0
214000,2019,1,2,0,1
125000,2020,1,2,0,1
685000,2019,1,5,0,0
385000,2021,1,2,0,1
200000,2020,1,3,0,1
832500,2020,1,5,0,0
800000,2020,1,5,0,0
800000,2019,1,4,0,0
665000,2021,1,5,0,0
320000,2020,1,2,0,1
400000,2020,1,2,0,1
352500,2019,1,2,0,1
312500,2020,1,2,0,1
330000,2021,1,2,0,1
862000,2020,1,5,0,0
370000,2019,1,2,0,1
407500,2021,1,2,0,1
710000,2019,1,5,0,0
410000,2020,1,2,0,1
900000,2019,1,5,0,0
475000,2020,1,2,0,1
360000,2020,1,2,0,1
272000,2020,1,2,0,1
378000,2019,1,2,0,1
504000,2020,1,2,0,1
475000,2020,1,2,0,1
825000,2020,1,5,0,0
735000,2021,1,5,0,0
392500,2020,1,2,0,1
380000,2020,1,2,0,1
455000,2020,1,2,0,1
375000,2019,1,2,0,1
340000,2019,1,2,0,1
740000,2019,1,5,0,0
580000,2019,1,2,0,1
592500,2019,1,2,0,1
705000,2019,1,2,0,1
118750,2020,1,2,0,1
100000,2019,1,2,0,1
420000,2019,1,2,0,1
470000,2019,1,2,0,1
750000,2020,1,2,0,1
365000,2019,1,2,0,1
585000,2020,1,2,0,1
250000,2019,1,2,0,1
40800,2019,1,3,0,1
23800,2020,1,3,0,1
425000,2019,1,2,0,1
23200,2020,1,3,0,1
425000,2019,1,2,0,1
462500,2020,1,2,0,1
475000,2019,1,2,0,1
590000,2020,1,2,0,1
488750,2019,1,3,0,1
300000,2019,1,3,0,1
488750,2019,1,3,0,1
488750,2019,1,3,0,1
488750,2019,1,3,0,1
488750,2019,1,3,0,1
748237,2020,1,3,0,1
488750,2019,1,3,0,1
488750,2019,1,3,0,1
732324,2020,1,3,0,1
488750,2019,1,3,0,1
488750,2019,1,3,0,1
488750,2019,1,3,0,1
414298,2020,1,3,0,1
488750,2019,1,3,0,1
